accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR9141414	SRP199742	new	PRJNA545266	SAMN11879937	FTO_1_A1	FLD0289	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0289.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0289.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141415	SRP199742	new	PRJNA545266	SAMN11879938	FTO_1_B1	FLD0290	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0290.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0290.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141412	SRP199742	new	PRJNA545266	SAMN11879939	FTO_1_C1	FLD0291	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0291.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0291.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141413	SRP199742	new	PRJNA545266	SAMN11879940	FTO_1_D1	FLD0292	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0292.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0292.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141418	SRP199742	new	PRJNA545266	SAMN11879941	FTO_1_E1	FLD0293	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0293.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0293.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141419	SRP199742	new	PRJNA545266	SAMN11879942	FTO_1_F1	FLD0294	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0294.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0294.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141416	SRP199742	new	PRJNA545266	SAMN11879943	FTO_1_A2	FLD0295	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0295.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0295.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141441	SRP199742	new	PRJNA545266	SAMN11879944	FTO_1_B2	FLD0296	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0296.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0296.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141421	SRP199742	new	PRJNA545266	SAMN11879945	FTO_1_C2	FLD0297	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0297.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0297.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141422	SRP199742	new	PRJNA545266	SAMN11879946	FTO_1_D2	FLD0298	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0298.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0298.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141426	SRP199742	new	PRJNA545266	SAMN11879947	FTO_1_E2	FLD0299	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0299.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0299.000000000-BJWVR.s_1.r_2.fq.gz
SRR9141427	SRP199742	new	PRJNA545266	SAMN11879948	FTO_1_F2	FLD0300	FTO (rare sequences analysis)	Targeted-Capture	GENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	FTO (rare sequences analysis)	fastq	SLX-15026.FLD0300.000000000-BJWVR.s_1.r_1.fq.gz	SLX-15026.FLD0300.000000000-BJWVR.s_1.r_2.fq.gz
